Text,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:10.2526,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2527,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2528,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2529,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2530,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2531,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2532,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2533,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2534,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2535,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msA.hmt:10.2536,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msA.hmt:10.2537,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msA.hmt:10.2538,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msA.hmt:10.2539,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msA.hmt:10.2540,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msA.hmt:10.2541,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msA.hmt:10.2542,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msA.hmt:10.2543,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msA.hmt:10.2544,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msAim.hmt:10.2545,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msAim.hmt:10.2546,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msAext.hmt:10.2547,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2548,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2549,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2550,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2551,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2552,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2553,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2554,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2555,urn:cite:hmt:msA.131v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2556,urn:cite:hmt:msA.131v
